date,port_ret
1997-08-18,-0.001077920289479839
1997-08-19,0.00417546432655221
1997-08-20,-0.002188443915383124
1997-08-21,-0.005116989648816979
1997-08-22,0.001596712224613291
1997-08-25,-0.0033424364286100587
1997-08-26,4.817020510069123e-05
1997-08-27,0.0037511428948816907
1997-08-28,0.004828112402588254
1997-08-29,0.0009112388611594024
1997-09-01,7.457121551079915e-05
1997-09-02,0.0007455453664355627
1997-09-03,-2.0517822008181415e-05
1997-09-04,-0.005703460683604278
1997-09-05,0.0010350215946937449
1997-09-08,-0.0014601815650443863
1997-09-09,0.000194331657771792
1997-09-10,-0.0013619996758033417
1997-09-11,0.0015250037959711655
1997-09-12,0.0010870414361512002
1997-09-15,-0.00102073813898144
1997-09-16,0.003695925416212701
1997-09-17,-0.0010756608825436276
