,date,open,high,low,close,ticker,, 
7691,31/07/1997,135.97,135.97,135.97,135.97,SP500BDT,,
7692,01/08/1997,134.63,134.63,134.63,134.63,SP500BDT,,
7693,04/08/1997,134.54,134.54,134.54,134.54,SP500BDT,,
7694,05/08/1997,134.49,134.49,134.49,134.49,SP500BDT,,
7695,06/08/1997,134.7,134.7,134.7,134.7,SP500BDT,,
7696,07/08/1997,134.47,134.47,134.47,134.47,SP500BDT,,
7697,08/08/1997,133.42,133.42,133.42,133.42,SP500BDT,,
7698,11/08/1997,133.55,133.55,133.55,133.55,SP500BDT,,
7699,12/08/1997,133.43,133.43,133.43,133.43,SP500BDT,,
7700,13/08/1997,133.67,133.67,133.67,133.67,SP500BDT,,
7701,14/08/1997,134.23,134.23,134.23,134.23,SP500BDT,,
7702,15/08/1997,134.3,134.3,134.3,134.3,SP500BDT,,
7703,18/08/1997,134.71,134.71,134.71,134.71,SP500BDT,,
7704,19/08/1997,134.75,134.75,134.75,134.75,SP500BDT,,
7705,20/08/1997,134.55,134.55,134.55,134.55,SP500BDT,,
7706,21/08/1997,134.13,134.13,134.13,134.13,SP500BDT,,
7707,22/08/1997,133.68,133.68,133.68,133.68,SP500BDT,,
7708,25/08/1997,133.64,133.64,133.64,133.64,SP500BDT,,
7709,26/08/1997,133.72,133.72,133.72,133.72,SP500BDT,,
7710,27/08/1997,133.77,133.77,133.77,133.77,SP500BDT,,
7711,28/08/1997,134.35,134.35,134.35,134.35,SP500BDT,,
7712,29/08/1997,134.1,134.1,134.1,134.1,SP500BDT,,
7713,01/09/1997,134.13,134.13,134.13,134.13,SP500BDT,,
7714,02/09/1997,134.43,134.43,134.43,134.43,SP500BDT,,
7715,03/09/1997,134.32,134.32,134.32,134.32,SP500BDT,,
7716,04/09/1997,134.31,134.31,134.31,134.31,SP500BDT,,
7717,05/09/1997,134.02,134.02,134.02,134.02,SP500BDT,,
7718,08/09/1997,134.3,134.3,134.3,134.3,SP500BDT,,
7719,09/09/1997,134.28,134.28,134.28,134.28,SP500BDT,,
7720,10/09/1997,134.08,134.08,134.08,134.08,SP500BDT,,
7721,11/09/1997,133.91,133.91,133.91,133.91,SP500BDT,,
7722,12/09/1997,134.65,134.65,134.65,134.65,SP500BDT,,
7723,15/09/1997,134.85,134.85,134.85,134.85,SP500BDT,,
7724,16/09/1997,136.19,136.19,136.19,136.19,SP500BDT,,
7725,17/09/1997,136.38,136.38,136.38,136.38,SP500BDT,,
7726,18/09/1997,136.33,136.33,136.33,136.33,SP500BDT,,
7727,19/09/1997,136.45,136.45,136.45,136.45,SP500BDT,,
7728,22/09/1997,136.73,136.73,136.73,136.73,SP500BDT,,
7729,23/09/1997,136.46,136.46,136.46,136.46,SP500BDT,,
7730,24/09/1997,136.92,136.92,136.92,136.92,SP500BDT,,
7731,25/09/1997,136.33,136.33,136.33,136.33,SP500BDT,,
7732,26/09/1997,136.67,136.67,136.67,136.67,SP500BDT,,
7733,29/09/1997,136.65,136.65,136.65,136.65,SP500BDT,,
7734,30/09/1997,136.51,136.51,136.51,136.51,SP500BDT,,
7735,01/10/1997,137.2,137.2,137.2,137.2,SP500BDT,,
7736,02/10/1997,137.39,137.39,137.39,137.39,SP500BDT,,
7737,03/10/1997,137.44,137.44,137.44,137.44,SP500BDT,,
7738,06/10/1997,137.91,137.91,137.91,137.91,SP500BDT,,
7739,07/10/1997,138.14,138.14,138.14,138.14,SP500BDT,,
7740,08/10/1997,137.1,137.1,137.1,137.1,SP500BDT,,
7741,09/10/1997,137,137,137,137,SP500BDT,,
7742,10/10/1997,136.56,136.56,136.56,136.56,SP500BDT,,
7743,13/10/1997,136.63,136.63,136.63,136.63,SP500BDT,,
7744,14/10/1997,137.24,137.24,137.24,137.24,SP500BDT,,
7745,15/10/1997,137.06,137.06,137.06,137.06,SP500BDT,,
7746,16/10/1997,137.1,137.1,137.1,137.1,SP500BDT,,
7747,17/10/1997,136.68,136.68,136.68,136.68,SP500BDT,,
7748,20/10/1997,136.86,136.86,136.86,136.86,SP500BDT,,
7749,21/10/1997,136.88,136.88,136.88,136.88,SP500BDT,,
7750,22/10/1997,136.99,136.99,136.99,136.99,SP500BDT,,
7751,23/10/1997,137.71,137.71,137.71,137.71,SP500BDT,,
7752,24/10/1997,137.99,137.99,137.99,137.99,SP500BDT,,
7753,27/10/1997,138.26,138.26,138.26,138.26,SP500BDT,,
7754,28/10/1997,137.69,137.69,137.69,137.69,SP500BDT,,
7755,29/10/1997,138.17,138.17,138.17,138.17,SP500BDT,,
7756,30/10/1997,138.63,138.63,138.63,138.63,SP500BDT,,
7757,31/10/1997,138.69,138.69,138.69,138.69,SP500BDT,,
7758,03/11/1997,138.2,138.2,138.2,138.2,SP500BDT,,
7759,04/11/1997,137.84,137.84,137.84,137.84,SP500BDT,,
7760,05/11/1997,138,138,138,138,SP500BDT,,
7761,06/11/1997,138.56,138.56,138.56,138.56,SP500BDT,,
7762,07/11/1997,138.56,138.56,138.56,138.56,SP500BDT,,
7763,10/11/1997,138.49,138.49,138.49,138.49,SP500BDT,,
7764,11/11/1997,138.52,138.52,138.52,138.52,SP500BDT,,
7765,12/11/1997,138.69,138.69,138.69,138.69,SP500BDT,,
7766,13/11/1997,138.79,138.79,138.79,138.79,SP500BDT,,
7767,14/11/1997,138.86,138.86,138.86,138.86,SP500BDT,,
7768,17/11/1997,138.91,138.91,138.91,138.91,SP500BDT,,
7769,18/11/1997,138.91,138.91,138.91,138.91,SP500BDT,,
7770,19/11/1997,139.19,139.19,139.19,139.19,SP500BDT,,
7771,20/11/1997,139.03,139.03,139.03,139.03,SP500BDT,,
7772,21/11/1997,139.24,139.24,139.24,139.24,SP500BDT,,
7773,24/11/1997,138.94,138.94,138.94,138.94,SP500BDT,,
7774,25/11/1997,139.12,139.12,139.12,139.12,SP500BDT,,
7775,26/11/1997,139.21,139.21,139.21,139.21,SP500BDT,,
7776,27/11/1997,139.23,139.23,139.23,139.23,SP500BDT,,
7777,28/11/1997,139.36,139.36,139.36,139.36,SP500BDT,,
7778,01/12/1997,139.38,139.38,139.38,139.38,SP500BDT,,
7779,02/12/1997,139.5,139.5,139.5,139.5,SP500BDT,,
7780,03/12/1997,139.71,139.71,139.71,139.71,SP500BDT,,
7781,04/12/1997,139.69,139.69,139.69,139.69,SP500BDT,,
7782,05/12/1997,139.33,139.33,139.33,139.33,SP500BDT,,
7783,08/12/1997,139.01,139.01,139.01,139.01,SP500BDT,,
7784,09/12/1997,139.12,139.12,139.12,139.12,SP500BDT,,
7785,10/12/1997,139.53,139.53,139.53,139.53,SP500BDT,,
7786,11/12/1997,140.16,140.16,140.16,140.16,SP500BDT,,
7787,12/12/1997,140.81,140.81,140.81,140.81,SP500BDT,,
7788,15/12/1997,140.59,140.59,140.59,140.59,SP500BDT,,
7789,16/12/1997,140.66,140.66,140.66,140.66,SP500BDT,,
7790,17/12/1997,140.42,140.42,140.42,140.42,SP500BDT,,
